dateTime,valid,binCount0,binCount1,binCount2,binCount3,binCount4,binCount5,binCount6,binCount7,binCount8,binCount9,binCount10,binCount11,binCount12,binCount13,binCount14,binCount15,binCount16,binCount17,binCount18,binCount19,binCount20,binCount21,binCount22,binCount23,bin1TimeToCross,bin3TimeToCross,bin5TimeToCross,bin7TimeToCross,samplingPeriod,sampleFlowRate,temperature,humidity,pm1,pm2_5,pm10,rejectCountGlitch,rejectCountLongTOF,rejectCountRatio,rejectCountOutOfRange,fanRevCount,laserStatus,checkSum,target,is_train,prediction,predictionLabels,cleanProb,juulProb,lysolProb,febrezeProb,breathProb
2019-06-14 16:00:04.625854,1,38,5,0,0,2,0,1,3,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,26,0,0,39,499,464,27.976,38.528,0.16,1.55,67.79,4,0,90,16,0,621,53176,clean,True,0,Clean,1.0,0.0,0.0,0.0,0.0
2019-06-14 16:00:14.624814,1,43,2,4,0,1,3,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,0,35,53,499,469,27.976,38.28,0.23,2.04,36.98,2,0,93,10,0,621,47070,clean,True,0,Clean,1.0,0.0,0.0,0.0,0.0
2019-06-14 16:00:24.624121,1,51,3,1,1,3,1,4,0,1,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,30,26,45,0,499,468,27.980999999999998,38.414,0.26,2.3,51.78,3,0,99,13,0,622,35195,clean,True,0,Clean,1.0,0.0,0.0,0.0,0.0
2019-06-14 16:00:34.622926,1,37,5,1,0,1,3,1,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32,0,38,0,499,461,27.991,37.94,0.2,2.0,35.78,6,0,84,21,0,622,64132,clean,True,0,Clean,1.0,0.0,0.0,0.0,0.0
2019-06-14 16:00:44.622215,1,36,3,1,0,1,0,1,1,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,35,0,0,53,499,452,27.997,37.826,0.15,1.64,68.36,4,0,82,8,0,621,33824,clean,True,0,Clean,0.9,0.0,0.1,0.0,0.0
2019-06-14 16:00:54.621039,1,33,3,1,1,2,0,0,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,34,26,0,45,499,446,28.002,37.578,0.18,1.75,38.31,5,0,84,12,0,621,53428,clean,True,0,Clean,0.9,0.0,0.1,0.0,0.0
2019-06-14 16:01:04.620015,1,43,1,0,1,2,2,2,2,0,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,37,40,50,42,499,443,28.002,37.578,0.21,2.15,88.04,3,0,94,14,0,621,23474,clean,True,0,Clean,0.9,0.0,0.1,0.0,0.0
2019-06-14 16:01:14.618985,1,44,3,2,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,499,453,28.013,37.908,0.18,1.85,19.91,2,0,107,18,0,621,26618,clean,False,0,Clean,0.8,0.1,0.0,0.1,0.0
2019-06-14 16:01:24.618019,1,31,2,3,0,3,1,2,1,2,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,23,0,30,52,499,459,28.006999999999998,37.812,0.21,2.14,84.68,3,1,91,13,0,621,37360,clean,False,0,Clean,0.7,0.0,0.3,0.0,0.0
2019-06-14 16:01:34.617124,1,36,4,4,1,3,4,0,1,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,24,27,39,53,499,470,28.013,37.89,0.29,2.42,42.33,4,0,84,7,0,621,60013,clean,True,0,Clean,1.0,0.0,0.0,0.0,0.0
